"last_name, first_name","player_id","year","strikeout","k_percent","bb_percent","batting_avg","on_base_plus_slg","p_era","z_swing_percent","z_swing_miss_percent","oz_swing_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","in_zone_swing","whiff_percent","swing_percent","f_strike_percent","groundballs_percent","flyballs_percent","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_z","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break","ch_range_speed","n_cukc_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break","cu_range_speed","n_sift_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break","fs_range_speed","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_range_speed",""
"Williams, Trevor","592866","2023","111",16.9,7.9,".300","0.891","5.55",69,12.5,28.1,"447","1516","589","839",19,47.1,58.7,40,27.3,"43.2","89.7","2204","-22.6","13.2","1.5","15.5","81.7","2180","5.6","-37.8","6.7","1.2","17","83.3","1686","-14.4","-36.3","14.9","1.4","6.9","76.7","2232","8.7","-48.7","9.2","1.2","14.6","88.2","1867","-15.2","-32.2","15.7","1.3",,,,,,,,,,,,,,,"57.8","89.3","2119","-8.6","-25","1.7",
"Rodriguez, Eduardo","593958","2023","143",23,7.7,".227","0.648","3.30",67.7,18.1,27.9,"448","1754","170","802",23.8,47.8,64.1,42.6,23.4,"45.4","92.2","2165","-17.5","15.9","1.5","7.2","84.5","2120","-2.2","-37.2","4","1.5","18.9","85.9","1879","16.2","-31.6","17.3","1.9",,,,,,,,"9.3","92.4","2159","13.6","-21.2","17.5","1.4","19.3","88.8","2172","-1.4","-24.4","10.4","1.8",,,,,,,,"73.9","91.3","2166","4.9","-19.7","2.3",
"Weaver, Luke","596133","2023","109",19.4,7.1,".301","0.912","6.40",69,17.7,24.9,"452","1230","485","790",21.6,47.3,60.2,35.9,27.6,"43.6","94","2395","-15","17.9","1.3","10.7","86.5","2283","3.2","-29.9","7.7","1.3","20","86.1","1714","-13.3","-28.8","16","1.4","10.8","81.6","2229","2.2","-47.6","7.2","1.4",,,,,,,,"10.9","90.3","2410","1.6","-20.4","13.3","1.2",,,,,,,,"54.5","93.3","2398","-5.7","-16.1","2.1",
"Gomber, Austin","596295","2023","87",14.4,7.1,".297","0.864","5.50",67.9,14.3,24.2,"390","975","795","784",19,47.5,63.3,42.8,26.8,"43.9","90.6","2170","-16.1","18.6","1.7","20","84.8","2394","-4.7","-32.8","7","1.8","18.1","81.6","1642","9.5","-30.3","14.3","1.4","16.8","77.6","2521","-7.6","-56.4","13.7","1.8","1.3","90.6","2134","12","-15.6","21.7","1.5",,,,,,,,,,,,,,,"45.1","90.6","2169","7.2","-16.1","1.7",
"Pivetta, Nick","601713","2023","183",31.2,8.5,".208","0.685","4.04",65.5,19.3,33.1,"11","1391","853","761",29.6,48.9,61.6,36.6,32.6,"50.6","94.6","2347","-10.7","20.5","1.4","11.1","86.6","2392","6.3","-32.4","8.1","1.9",,,,,,,,"24.7","79.4","2796","8","-61.3","19.2","1.8",,,,,,,,"7.8","88.3","2421","5.5","-30.8","7.3","1.6","0.5","84.8","1268","-4.7","-31.2","8.8","1.5","58.4","93.8","2357","-2.8","-13.3","2.8",
"Bassitt, Chris","605135","2023","186",22.5,7.1,".235","0.702","3.60",65.6,16.6,27,"310","2007","541","1085",21.9,47.3,63.4,42.9,27.1,"9.3","92.4","2154","-18.8","14.3","1.4","4.7","80.3","2333","7.6","-43.8","8.6","2.2","6.6","84.1","1932","-17.2","-30.6","19.2","1.5","12.6","70.7","2269","14","-70","20","1.5","39.3","91.9","2096","-15.9","-23.8","18.3","1.4","15.3","87.8","2205","2.6","-27.4","8.8","2.2","3.3","82.6","1406","-13.6","-36.1","15","1.9","63.9","91","2131","-9.9","-23.9","2.6",
"Clevinger, Mike","605182","2023","110",20,7.3,".244","0.717","3.77",69.4,15.3,29,"270","1226","604","725",23.2,49.1,63.4,31.3,33.8,"47.7","94.3","2267","-13.4","19","1.4","27.2","79.4","2353","15.1","-46.3","15.6","1.8","12.9","86.1","1530","-13.9","-27.8","16.7","1.8","1.5","76","2212","7.8","-64.1","18.1","1.9","2.6","93.3","2142","-13.7","-17","20","1.6","8.1","85","2392","4.5","-36.5","5.5","1.8",,,,,,,,"58.4","93","2279","-5.9","-16.8","3.9",
"Nola, Aaron","605400","2023","202",25.5,5.7,".240","0.708","4.46",64.5,16.9,34.7,"390","1720","977","974",26,49.3,64.8,43.1,25.9,"29.3","92.7","2305","-16.7","19.6","1.5",,,,,,,,"12.6","85.9","1558","-14.8","-32.4","15.8","1.4","31.6","79.4","2591","12.5","-54.8","16.8","1.4","19","91.8","2221","-17.4","-23.5","19.7","1.6","7.5","86.3","2266","0.8","-30.2","6.8","1.5",,,,,,,,"55.7","91.5","2271","-12.2","-20.8","2.8",
"Snell, Blake","605483","2023","234",31.5,13.3,".181","0.579","2.25",65.6,23.8,27.9,"584","1541","1043","828",37.3,42.9,59.3,43.7,24.9,"48.6","95.5","2430","-11.4","19.4","1.4","13.1","88.4","2345","-3","-28","8.2","1.4","18.4","86.7","1796","12.8","-25.5","17","1.7","19.8","81","2399","-12.6","-52.6","16.4","1.6",,,,,,,,,,,,,,,,,,,,,,"48.6","95.5","2430","4.6","-11.4","1.4",
"Rea, Colin","607067","2023","110",21.3,7.4,".235","0.730","4.55",67.8,16.7,27.4,"112","1526","155","693",24,47.9,64.6,44.1,26.3,"19.2","93.2","2154","-16.8","16.4","1.2",,,,,,,,,,,,,,,"7.7","78.7","2203","9.1","-55.5","14.5","1.5","29.9","92.6","2136","-15","-22.5","17.9","1.3","26.5","86.7","2185","3.2","-30.5","6.9","1.5","5.6","86","1514","-14.6","-31","16","1.5","75.7","90.7","2158","-6.6","-23.8","3.6",
"Freeland, Kyle","607536","2023","94",13.9,6.2,".300","0.848","5.03",71.6,10.2,29,"293","1127","994","890",17.1,51,65.3,40.9,29.6,"18.4","88.8","2345","-20.3","15.6","1.8","23.6","84.1","2273","-1.4","-33.6","5.3","2.2","12.1","84.3","1598","11.3","-30.2","14.1","1.9","17.6","80.6","2386","-2.4","-47.1","6.1","2","28.3","88.7","2302","13.4","-27.7","15.2","1.9",,,,,,,,,,,,,,,"46.7","88.7","2319","10.6","-24.8","1.9",
"Lugo, Seth","607625","2023","140",23.2,6,".249","0.708","3.57",64.8,14.5,25.9,"140","1230","915","806",21.8,46.3,63.1,45.4,24.2,"31.8","93.4","2267","-14.5","18.2","1.6","9.1","85.8","2588","5","-34.1","7","3.3","5.9","86.2","1543","-9.8","-31.1","11.8","1.6","29.4","79.6","3240","12.4","-60","20.5","2","20","93.2","2332","-15.6","-21.4","18.7","1.4",,,,,,,,,,,,,,,"51.8","93.3","2292","-10","-17.2","1.5",
"Giolito, Lucas","608337","2023","204",25.7,9.2,".240","0.799","4.88",67.6,18.8,27,"902","1338","950","1049",28.8,46.8,61.3,36.1,29,"41.9","93.1","2173","-13.5","19.1","1.4","28.2","84","1978","1.6","-38.3","3","1.7","28.3","80.9","1547","-12.8","-30.7","17","1.5","1.5","77.9","2334","6.2","-60.3","16.2","1.7",,,,,,,,,,,,,,,,,,,,,,"41.9","93.1","2173","-5.5","-13.5","1.4",
"Wacha, Michael","608379","2023","124",22.4,7.8,".224","0.668","3.22",65.9,17.1,29.7,"766","1210","245","736",24.6,47.9,61.8,35.2,31.3,"28.7","92","2050","-13.8","20.1","1.6",,,,,,,,"34.5","81.6","1522","-14","-31.9","17.8","1.5","11","74","2150","12","-62.7","17.1","1.5","13.4","91.9","1897","-14.3","-17.4","20.9","1.5","12.4","86.9","2036","0.7","-25.1","11.2","1.6",,,,,,,,"54.5","90.8","2009","-7.2","-17.3","2.9",
"Eflin, Zach","621107","2023","186",26.5,3.4,".235","0.643","3.50",64.4,16.8,34,"131","1654","690","865",24,49.9,65.7,50.4,22,"6.2","92.9","2218","-17.7","16.3","1.3","0.3","84.1","2292","5.8","-38.2","6.1","1.5","5.1","86.4","1615","-15.8","-32","16.7","1.7","26.5","79.1","2502","11.5","-51.3","13.9","1.5","31.9","92.2","2100","-16.7","-26.4","17.9","1.2","26.1","88.5","2236","2.4","-26.3","9.2","1.5",,,,,,,,"64.2","90.8","2166","-8.1","-25.5","2.5",
"Berrios, Jose","621244","2023","184",23.5,6.6,".241","0.697","3.65",63.2,16.7,30.5,"543","1524","0","909",25.4,46.5,63,42.1,25.1,"20.4","94.3","2227","-15","18.3","1.3",,,,,,,,"18.5","84.1","1436","-14.2","-34.4","15.1","2.5",,,,,,,,"31.5","93.8","2118","-15.6","-19.2","19.8","1.3",,,,,,,,,,,,,,,"51.9","94","2161","-13","-17.6","1.3",
"Castillo, Luis","622491","2023","219",27.3,7,".218","0.671","3.34",73.4,22.9,31.3,"500","1997","710","1162",30.6,52.1,63.7,39.5,27.6,"44.4","96.3","2287","-16","18.2","1.4","22.1","85.7","2347","1.1","-36.9","2.7","1.4","15.6","88.3","1906","-17.8","-33.7","18","1.4",,,,,,,,"17.9","95.9","2098","-18.5","-25","19.2","1.4",,,,,,,,,,,,,,,"62.3","96.1","2232","-13.9","-18.6","1.4",
"Suarez, Ranger","624133","2023","119",22,8.9,".267","0.747","4.18",62.1,15,29.6,"372","1254","397","594",23,45,61.5,48.8,21,"21.5","93.4","1976","-18.5","14.7","1.2","0.6","83.9","2082","-4.9","-37.9","5.3","1.7","18.4","82.9","1447","13.7","-34.9","14.7","2.2","19","75.8","2175","-11.3","-58.2","15.5","1.5","28","92.8","1929","15.9","-25.8","17.1","1.2","12.5","87.6","2059","-2.3","-30.6","6.1","1.9",,,,,,,,"62","91.9","1971","9.1","-24.2","2.9",
"Lopez, Pablo","641154","2023","234",29.2,6,".238","0.677","3.66",69.2,21.4,34.3,"638","1363","377","1041",30.3,51.7,68.9,45.4,25.3,"34.5","94.9","2262","-16","15.3","1.1",,,,,,,,"21.1","88.4","2067","-16.5","-29.2","17.6","1.3","12.5","82.5","2655","9","-50.6","13.9","1.5","10.6","94.5","2114","-14.2","-22.4","16.5","1.1",,,,,,,,,,,,,,,"45.1","94.8","2227","-7.2","-17.5","1.1",
"Dunning, Dane","641540","2023","140",19.4,7.6,".250","0.709","3.70",66,14.2,27.9,"421","1518","757","894",22.2,47,63,47.2,24.2,"3.2","90.5","2135","-21.7","13.5","1.2","23.4","82.1","2361","3","-42","4","1.7","15.6","85.7","1775","-16.9","-32.4","17.7","1.2","4.7","77.7","2173","10.5","-60.6","18.3","1.6","33.1","91","2055","-14.1","-25.4","16.3","1.1","20","88.9","2190","1.1","-24.4","10.3","1.3",,,,,,,,"56.3","90.2","2108","-8.2","-24.8","1.6",
"France, J.P.","641585","2023","101",17.4,8.1,".263","0.736","3.83",65.1,15.2,23.5,"334","1366","302","737",21.9,44.9,58.2,42.2,25.8,"43.1","93","2426","-16.1","15.8","1.1",,,,,,,,"15.2","81.8","1867","-15.1","-31.1","18.2","1.8","13.7","76","2533","9.9","-66.3","20.6","1.6",,,,,,,,"18.9","86.8","2667","6.1","-31.2","9","1.7",,,,,,,,"62","91.2","2500","0.9","-20.7","3.5",
"Ober, Bailey","641927","2023","146",25.3,5,".232","0.682","3.43",73.2,22.8,33.5,"652","1063","612","838",28.7,53.1,66,34.7,35.2,"45.7","91.3","2313","-16.2","18.2","1.1","19.6","81","2105","11.5","-39.7","12.3","1.5","28","83.7","2084","-17.2","-33.7","18.2","1.3","6.7","77.5","2182","8.8","-54.9","13.1","1.6",,,,,,,,,,,,,,,,,,,,,,"45.7","91.3","2313","-7.5","-16.2","1.1",
"Peralta, Freddy","642547","2023","210",30.9,7.9,".212","0.669","3.86",68.8,24.2,28.8,"415","1453","971","927",33.6,47.8,62.4,42.8,27.1,"51.2","94.4","2414","-15.3","17.1","1.7","21.7","82.4","2342","7.4","-37.4","9","1.5","14.6","88.6","1707","-14.2","-30.2","15.2","1.2","12.5","77","2177","4.2","-51.7","7.2","2.1",,,,,,,,,,,,,,,,,,,,,,"51.2","94.4","2414","-6.9","-15.3","1.7",
"Alcantara, Sandy","645261","2023","151",19.8,6.3,".251","0.693","4.14",72.1,19,34.8,"744","1369","608","1018",25.2,54.2,65,51.9,21.5,"21.3","98","2254","-15.1","18.1","1.2","20.1","89.9","2367","0.5","-29.8","4.8","1.9","27.3","91.1","1968","-16.3","-29.3","16.9","1.3","2.2","86.1","2462","3.4","-39.6","5","1.6","29","97.6","2329","-17.6","-21.4","19.2","1.2",,,,,,,,,,,,,,,"50.3","97.8","2297","-15.1","-18.7","1.2",
"Civale, Aaron","650644","2023","116",23,6.5,".235","0.656","3.46",63.4,15.3,30.3,"34","1370","604","640",22.7,46.9,68.7,39.8,27.5,"12.3","91.8","2384","-14.1","19.1","1.4","5.6","82.4","2868","11.7","-38.5","12.4","1.5",,,,,,,,"24.5","78.1","2985","10.9","-61.3","19.4","1.7","18.6","92.4","2271","-13.9","-19.1","19.1","1.5","37.4","87.7","2596","3.7","-27.8","9.1","1.6","1.7","85.2","2067","-16.9","-28.6","19.2","1.6","68.2","89.7","2469","-2.6","-23","3",
"Canning, Griffin","656288","2023","139",25.9,6.7,".245","0.733","4.32",66.3,17.5,29,"443","738","903","718",29.1,48.4,60.3,43,30.1,"34.9","94.7","2139","-14.8","17.5","1.1","29.9","88.4","2728","0.1","-38.3","4.4","1.2","21.3","90.2","1810","-16.3","-29.3","17.1","1","13.4","81.8","2406","12","-48.3","14.3","1.2","0.5","95","2056","-14.4","-16.9","19.9","1.4",,,,,,,,,,,,,,,"35.4","94.7","2138","-7.5","-14.9","1.1",
"Cease, Dylan","656302","2023","214",27.3,10.1,".250","0.737","4.58",68.6,18.7,28.2,"99","1408","1755","1005",31,46.3,61.1,36.8,27.2,"43.2","95.6","2519","-11.2","19.2","1.2","38.6","86.3","2795","2.5","-34.7","3.9","1.6","3","74.6","1678","-7","-33.3","17.4","3.2","15.2","80.2","2641","3.6","-58.5","16.3","1.9",,,,,,,,,,,,,,,,,,,,,,"43.2","95.6","2519","-3.2","-11.2","1.2",
"Flaherty, Jack","656427","2023","148",22.8,10.2,".287","0.820","4.99",65.5,18.8,25.3,"86","1388","1158","800",26.6,44,58.9,43,24.3,"41.7","93.1","2306","-17.9","13.8","1.8","24.6","84.2","2464","7.2","-37.4","7.7","2","3.3","85.3","1624","-11.9","-31.7","13.5","1.7","19.4","76.2","2495","14.2","-56.6","17.1","2.4","2","90.1","2041","-10.3","-25.3","13.6","1.9","9.1","88.7","2291","4.8","-28.5","8.2","1.7",,,,,,,,"52.7","92.3","2294","-1.3","-20","2.7",
"Keller, Mitch","656605","2023","210",25.5,6.7,".249","0.712","4.21",65.5,18.1,27.1,"90","2278","249","1099",23.2,47.8,63.8,44.2,25.5,"26.1","95.2","2377","-15.2","17.6","1.7",,,,,,,,"2.9","90.7","1645","-15.5","-29.8","16.1","1.5","8","78","2604","12.5","-59.9","19.1","1.5","22.7","93.9","2376","-15.6","-21.9","18.2","1.5","24.2","89.7","2456","3.6","-28.3","7.2","2.1",,,,,,,,"73","92.9","2403","-6.9","-21.6","3.2",
"Kopech, Michael","656629","2023","134",22.7,15.4,".238","0.838","5.43",63.4,20,24.6,"181","1492","757","696",26.9,42.1,53.5,35.6,35,"61.4","95.2","2501","-13.1","19.6","1.7","27.2","84.8","2340","5.4","-38","6.2","2.3","7.4","88.7","1794","-14.6","-27.2","16.7","2","4","80.6","2387","6.4","-49.4","9.9","1.9",,,,,,,,,,,,,,,,,,,,,,"61.4","95.2","2501","-9","-13.1","1.7",
"Megill, Tylor","656731","2023","105",18.5,10.2,".282","0.802","4.70",67.3,16.6,23.6,"338","1245","652","734",23.3,44.9,54.3,44.3,26.7,"55.7","94.9","2126","-15.7","16.9","1.5","20.6","84.4","2225","4.2","-40.2","5.5","1.9","14.9","87.9","1607","-14.4","-29.2","15.9","2","8.6","77.2","2316","8","-60","15.9","1.8",,,,,,,,,,,,,,,"0.2","85.9","924","-13.7","-35.5","14.3","1.5","55.7","94.9","2126","-7.8","-15.7","1.5",
"Montgomery, Jordan","656756","2023","166",21.4,6.2,".247","0.688","3.20",66.4,17.7,30,"671","1602","647","936",25.9,47.6,64.7,43.8,23.6,"10.7","93.3","2343","-15.7","17","1.1",,,,,,,,"23","83.5","1675","9.2","-26.3","16","1.2","22.2","80.5","2356","-3","-48.7","7.4","1.2","42.6","93.3","2199","15.4","-20.9","18.7","1.2","1.5","88.2","2374","-2.6","-28.1","7.7","1.4",,,,,,,,"54.9","93.1","2232","13.1","-20.1","1.5",
"Steele, Justin","657006","2023","176",24.6,5,".251","0.666","3.06",71.5,15.7,31.9,"28","1724","926","1019",23.8,52.9,65.5,50.3,19.5,"62.6","91.8","2402","-21.5","11","1.5","33.9","83.3","2658","-14.1","-39.9","14.4","1.6","1","87.5","1745","11","-28.2","13.5","1.3","0.7","80.7","2681","-10.6","-52.2","15.1","1.3","1.8","92.2","2396","8.3","-20.9","14.4","1.4",,,,,,,,,,,,,,,"64.4","91.8","2401","-1.1","-21.5","1.5",
"Webb, Logan","657277","2023","194",22.8,3.6,".248","0.654","3.25",62.4,11.1,32.5,"1324","1185","673","989",20.7,47.4,65.3,62.7,14.9,"3.7","92.6","1980","-21.7","14.2","1.1","21.2","84.3","2559","12.3","-38","12.7","1.2","41.6","87.5","1476","-11.3","-40","12.4","1.2",,,,,,,,"33.6","92.3","1874","-16","-31.3","16.2","1",,,,,,,,,,,,,,,"37.2","92.3","1885","-15.4","-30.4","1",
"Schmidt, Clarke","657376","2023","149",21.5,6.6,".268","0.777","4.64",63.8,12.8,29.7,"40","1411","519","880",22.6,47.1,63.7,43.6,24.6,,,,,,,,,,,,,,"1.5","89.5","2149","-8.5","-31.3","9.2","1.5","19.1","83.7","2930","16","-46.8","17.8","1.1","23.9","93.5","2546","-9.3","-24.3","11.9","1.5","28.1","91.3","2723","3.1","-24.9","8.6","1.4",,,,,,,,"52","92.3","2642","-2.6","-24.6","1.9",
"Ryan, Joe","657746","2023","197",29.3,5.1,".248","0.742","4.51",74.1,22.9,32.9,"731","1526","122","1069",26.8,55.1,67.3,33.1,34.7,"56.9","92.3","2216","-17.6","18","1.4","4.5","83.2","2323","4.7","-36.1","6.6","1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.2","83.9","1439","-12.1","-36.5","12.8","2.1","56.9","92.3","2216","-10.3","-17.6","1.4",
"Ohtani, Shohei","660271","2023","167",31.5,10.4,".184","0.618","3.14",66,22.4,25.7,"136","1140","81","718",30.8,46.7,60.1,45.8,25.6,"32.8","96.8","2260","-15.1","14.9","2.1","0.2","85.5","2593","7.3","-45.8","11.2","1.5",,,,,,,,"3.6","75.7","2459","11.8","-62.5","18.3","3.2","6","94.6","2014","-14.8","-24.9","16.1","2.1","15.7","88.6","2376","4.1","-30.4","7.2","3.4","6.5","88.6","1305","-8.1","-31","10.1","2.3","54.4","94.2","2267","-2.9","-20.6","4.9",
"Irvin, Jake","663623","2023","99",18.7,10.2,".255","0.771","4.61",64,12.6,22.6,"105","1386","656","699",17.8,43.7,56.8,42.5,30.1,"35.6","94.5","2333","-15.6","18.5","1.8",,,,,,,,"4.9","87.7","2211","-15.8","-28.5","17.5","1.8","30.6","80.9","2407","12.5","-47","13.8","2.2","28.9","93.9","2276","-16.5","-23","18.5","2.1",,,,,,,,,,,,,,,"64.6","94.2","2307","-13.2","-18.9","2",
"Sandoval, Patrick","663776","2023","128",19.6,11.3,".256","0.718","4.11",65.8,18.7,29.1,"675","961","917","822",27.7,46.6,59,47,18.9,"25.5","93","1989","-14.8","17.5","1.8","26","87","2464","-6.2","-32.5","7.8","1.9","25.8","83","1780","14.2","-29.5","17.8","1.6","9","76.5","2722","-8.6","-60","15.8","1.7","11.2","93.2","1895","13.3","-17.9","19.1","1.7",,,,,,,,,,,,,,,"36.7","93.1","1960","7.1","-15.8","1.8",
"Singer, Brady","663903","2023","133",18.9,7,".287","0.808","5.52",64.2,12.2,26.4,"164","1336","1098","849",22.7,45.6,61.5,50.2,21.7,,,,,,,"42","84","2377","3.4","-37.6","4.3","1.5","6.3","87.7","1849","-15","-28.1","17","1.3",,,,,,,,"51.1","92.1","2280","-12.9","-22.6","16.3","1.3",,,,,,,,,,,,,,,"51.1","92.1","2280","-12.9","-22.6","1.3",
"Valdez, Framber","664285","2023","200",24.8,7.1,".228","0.655","3.45",65.1,13.7,29,"462","1770","718","968",26.7,47.2,58.8,55.2,18.5,,,,,,,,,,,,,,"15.7","90.1","1676","15.5","-29.1","16.5","1.7","24.3","80.2","2846","-8.9","-57.5","17.1","1.5","46.9","95.3","2187","15.8","-20.5","18.8","1.4","13.1","85.7","2592","-2.7","-38.8","6.1","2.9",,,,,,,,"60","93.2","2275","11.8","-24.4","4.9",
"Javier, Cristian","664299","2023","159",23.1,9,".234","0.733","4.56",69.2,19.7,29.3,"119","1682","1081","932",27.1,48,55.3,26.1,38.8,"58.4","92.7","2255","-13.3","19.6","1.2","30","79.5","2552","14","-41.1","14.6","1.5","4.1","83.7","2398","-15.9","-31.5","17.8","1.5","7.5","76.6","2937","12.2","-57.4","16.3","1.3",,,,,,,,,,,,,,,,,,,,,,"58.4","92.7","2255","-5.6","-13.3","1.2",
"Kremer, Dean","665152","2023","157",21.4,7.5,".254","0.730","4.12",69.2,18.5,26.3,"358","2210","261","1010",24,47.7,62.6,40.2,26.8,"37.1","94.6","2304","-13.8","19.6","1.2",,,,,,,,"12.2","85.3","1715","-15.4","-32.7","16.5","1.3","8.9","78.1","2756","10.4","-55.6","15.4","1.5","14.6","91.9","2002","-16","-22.6","18.9","1.5","23.9","88.8","2435","3.8","-25.9","9.8","1.4",,,,,,,,"75.6","92.2","2287","-6.6","-19.3","3.2",
"Garrett, Braxton","666129","2023","156",23.7,4.4,".250","0.714","3.66",63.2,13.6,31.2,"219","1411","849","784",25.3,47.2,66.3,49,20.5,"7.5","90.8","2270","-18.2","16.9","1.4","25.9","82.8","2210","-10.3","-43.2","11","1.2","8.8","84.1","1458","14.4","-36.8","14.7","1.4","8.3","77.6","2168","-10.4","-53.4","13.3","1.4","31.7","90.5","2076","15.7","-26.2","17.6","1.1","17.7","87.5","2381","-2.2","-31.3","5.3","1",,,,,,,,"56.9","89.6","2197","9.1","-26.7","1.9",
"Luzardo, Jesus","666200","2023","208",28.1,7.4,".239","0.710","3.58",67.7,19.7,31.3,"626","1499","863","960",31.4,48.6,59.4,41.1,28.6,"46","96.7","2240","-15.5","20","1.2","28.9","85.1","2320","0.1","-36.3","2.1","1.5","21","88.3","1968","16.2","-28.4","17.7","1.3",,,,,,,,"3.8","96.6","2157","17.5","-19.7","20.1","1.2","0.4","91.4","2146","2","-25.8","7.5","1.4",,,,,,,,"50.2","96.7","2233","14.3","-15.9","1.3",
"Gallen, Zac","668678","2023","220",26,5.6,".238","0.666","3.47",65.2,14.7,30,"453","1946","849","1034",26.3,47.2,66.1,42.3,26.5,"49.3","93.6","2296","-14.4","17.3","1.2","3.4","87.5","2433","5.5","-34.7","6.3","1.5","13.9","86.8","1517","-12.6","-32.1","13.6","1.6","22.7","82.5","2463","4","-51","11.6","1.4","0.4","92.6","2345","-10.4","-13.9","21.2","1.5","10.3","90","2343","3.5","-25.3","9.6","1.7",,,,,,,,"59.9","92.9","2304","-1.9","-16.2","2",
"Ashcraft, Graham","668933","2023","111",17.8,8.3,".265","0.782","4.76",68,13.4,27.3,"0","1455","869","811",22.1,48.2,59.8,48,22.4,,,,,,,"37.4","88.3","2832","13.2","-35.4","13.5","1.8",,,,,,,,,,,,,,,"9.7","96.5","2340","-6.7","-21.8","10.4","1.6","52.9","95.8","2432","2.1","-22.8","7.8","1.6",,,,,,,,"62.6","95.9","2418","0.7","-22.6","1.6",
"Gore, MacKenzie","669022","2023","151",25.9,9.8,".258","0.789","4.42",69.3,19.1,29.3,"72","1464","912","818",27.9,48.5,58.9,39.1,28.7,"59.5","95","2286","-12.9","18.1","1.3","18.2","88.6","1970","-2.5","-28.9","6.5","1.4","2.9","86.5","2175","14","-25.5","18","1.6","18.8","83.2","2311","1.2","-46.3","7.5","1.7",,,,,,,,,,,,,,,,,,,,,,"59.5","95","2286","4.2","-12.9","1.3",
"Nelson, Ryne","669194","2023","96",15.5,7.4,".284","0.849","5.31",70.4,15.2,25.1,"313","1624","418","902",20.3,49.8,62.2,37.5,31.2,"54.6","94.4","2210","-12.6","18.7","1.6","12.4","81.6","2409","13.1","-42","13.6","1.5","13.3","83.3","1713","-13.9","-30.9","16.5","1.8","5.4","76.5","2486","6.6","-58.1","13.1","1.8",,,,,,,,"14.4","85.5","2328","4.5","-36.2","5.2","1.7",,,,,,,,"69","92.5","2234","-2.3","-17.5","4.4",
"Burnes, Corbin","669203","2023","200",25.5,8.4,".200","0.598","3.39",65.8,17.9,30,"346","1942","791","923",28.7,46.3,59.3,44.1,24.3,,,,,,,"8.5","86","2877","12.4","-35.4","12.9","2.6","11.2","89.3","2049","-13.8","-27.2","15.8","1.2","17.1","79.8","2794","10.4","-54","15.4","1.3","7.7","95.3","2489","-10.7","-19.1","15.5","1.2","55.4","94.4","2655","3.1","-19.2","12","1.2",,,,,,,,"63.1","94.5","2635","1.5","-19.2","1.2",
"Gilbert, Logan","669302","2023","189",24.5,4.7,".233","0.679","3.73",71.5,18.1,29.8,"431","1232","1259","1120",26.3,52.2,63.5,42.2,28.5,"41.9","95.7","2000","-12.8","18.2","1.3","29.7","88.7","2009","0.8","-34.4","2.2","1.4",,,,,,,,"13.4","80.3","2324","7.1","-55.1","14.7","2.2","0.3","92.5","1705","-12.7","-19.6","18.6","1.9",,,,,,,,"14.8","85.6","906","-7.3","-33.2","9.1","1.5","42.2","95.7","1999","-6.2","-12.9","1.4",
"Bieber, Shane","669456","2023","107",20.1,6.4,".253","0.709","3.80",64.4,11.5,29,"68","1213","673","607",24.2,46.1,67.4,47.5,22,"35.2","91.3","2242","-15.7","19.7","0.9","20.6","84.6","2534","3.1","-37.6","4.3","1","3.5","87.2","1660","-14","-28.6","16.3","1","13.8","82.5","2239","11.6","-50.1","15.3","1.1",,,,,,,,"26.9","86.5","2470","2.5","-29.2","7.8","1",,,,,,,,"62.1","89.2","2340","-4.3","-21.5","2.9",
"Kirby, George","669923","2023","172",22.7,2.5,".246","0.665","3.35",70.9,17.2,32.9,"221","1723","880","1138",22.9,54.5,69.5,44.6,25.7,"39.4","96.1","2209","-14.4","17.4","1.3","19.8","86.2","2335","11","-39.2","11.8","1.6","1.7","86.6","1521","-16","-31.3","16.9","1.4","11.4","81.8","2343","9.2","-53.9","15.9","1.5","21.6","95.8","2227","-15.8","-19.4","19","1.6",,,,,,,,"6.1","84.8","799","-10.3","-37.5","11.1","1.4","61","96","2215","-11","-16.2","1.4",
