"last_name, first_name","player_id","year","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_stolen_base","exit_velocity_avg","launch_angle_avg","whiff_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","hp_to_1b","sprint_speed",""
"Springer III, George","543807","2023","21",".258",".405",".327","0.732","20","88.3","12",22.3,44.8,25.9,22.4,6.9,"4.41","27.8",
"Hernandez, Teoscar","606192","2023","26",".258",".435",".305","0.740","7","91.3","12.3",35.8,42.8,26.8,24.9,5.5,"4.33","28.6",
"Suwinski, Jack","669261","2023","26",".224",".454",".339","0.793","13","90.5","22.4",30.1,28.1,36.3,23.1,12.5,"4.28","28.6",
"Harper, Bryce","547180","2023","21",".293",".499",".401","0.900","11","91.8","9.1",33.2,45.3,22.8,27.2,4.7,"4.43","27.6",
"Jung, Josh","673962","2023","23",".266",".467",".315","0.782","1","91.8","15",29.7,37.4,29.5,29.5,3.6,"4.59","26.8",
"Hernandez, Enrique","571771","2023","11",".237",".357",".289","0.646","4","87.8","17",23.6,37.4,28.1,24.3,10.2,"4.59","26.9",
"Garcia, Maikel","672580","2023","4",".272",".358",".323","0.681","23","91.8","6.1",19.5,48.3,18.3,29.2,4.2,"4.44","28.2",
"Torkelson, Spencer","679529","2023","31",".233",".446",".313","0.759","3","91.8","17.1",24.7,33.9,31.6,24.5,10,"4.6","27.4",
"Thomas, Lane","657041","2023","28",".268",".468",".315","0.783","20","88.5","10.8",23,43.4,23.5,25.9,7.2,"4.39","29.3",
"Arenado, Nolan","571448","2023","26",".266",".459",".315","0.774","3","88.8","16.9",20.2,38.8,25.7,24,11.6,"4.77","24.9",
"Arozarena, Randy","668227","2023","23",".254",".425",".364","0.789","22","91.7","11.3",29.1,43.3,25.3,23.3,8.3,"4.25","28.4",
"Reynolds, Bryan","668804","2023","24",".263",".460",".330","0.790","12","90.9","10.9",28.2,44.1,28.7,24,3.2,"4.44","27.7",
"Merrifield, Whit","593160","2023","11",".272",".382",".318","0.700","26","85.1","14.4",19.5,40.5,25.7,26.1,7.7,"4.3","28.7",
"Henderson, Gunnar","683002","2023","28",".255",".489",".325","0.814","10","92","11.4",26.4,45.8,26.5,23.3,4.5,"4.23","28.8",
"Bogaerts, Xander","593428","2023","19",".285",".440",".350","0.790","19","87.6","7.9",20.4,49.8,22.6,21.1,6.5,"4.38","27.7",
"Anderson, Tim","641313","2023","1",".245",".296",".286","0.582","13","87.8","2",25.3,61.4,10.7,26.8,1.1,"4.53","27.2",
"Candelario, Jeimer","600869","2023","22",".251",".471",".336","0.807","8","88.3","14.1",24.2,39.8,28,25.1,7.1,"4.45","27.5",
"Guerrero Jr., Vladimir","665489","2023","26",".264",".444",".345","0.789","5","92.1","10.5",23,45.3,21.7,26.1,6.9,"4.62","26.4",
"McKinstry, Zach","656716","2023","9",".231",".351",".302","0.653","16","87.2","17.8",20.4,35.7,34,26.1,4.2,"4.25","28.5",
"Freeman, Freddie","518692","2023","29",".331",".567",".410","0.977","23","90","15.2",20.4,35.9,29.6,30.9,3.6,"4.53","26.7",
"France, Ty","664034","2023","12",".250",".366",".337","0.703","1","87.5","13.7",21.9,41.8,23.1,26.5,8.5,"4.87","25.0",
"Perez, Salvador","521692","2023","23",".255",".422",".292","0.714","0","90.1","15.6",30.2,35.8,30.2,26.3,7.8,"4.93","24.2",
"Swanson, Dansby","621020","2023","22",".244",".416",".328","0.744","9","89.3","13",28.7,44.1,25.2,24.2,6.5,"4.29","28.4",
"Rosario, Eddie","592696","2023","21",".255",".450",".305","0.755","3","88.6","14.5",29.7,39.8,28.4,25.6,6.1,"4.3","27.9",
"Harris II, Michael","671739","2023","18",".293",".477",".331","0.808","20","90.9","7.6",24.4,48,17.4,28.2,6.4,"4.25","28.8",
"Acuna Jr., Ronald","660670","2023","41",".337",".596",".416","1.012","73","94.7","7.4",18.7,48.8,22.4,26.2,2.7,"4.35","28.0",
"Bell, Josh","605137","2023","22",".247",".419",".325","0.744","0","90.1","9.3",25.8,48.8,26,21.4,3.8,"4.69","25.9",
"Straw, Myles","664702","2023","1",".238",".297",".301","0.598","20","86.3","9.4",14,48.5,20.7,25.5,5.3,"4.14","29.2",
"Devers, Rafael","646240","2023","33",".271",".500",".351","0.851","5","93.1","12.4",26.1,42.7,28.4,20.6,8.3,"4.54","26.0",
"Edman, Tommy","669242","2023","13",".248",".399",".307","0.706","27","89.1","7.5",16.1,51.7,21.4,20.1,6.7,"4.24","28.8",
"Rodriguez, Julio","677594","2023","32",".275",".485",".333","0.818","37","92.7","8.5",28.2,47.6,24.5,23.3,4.6,"4.28","29.6",
"Friedl Jr., TJ","670770","2023","18",".279",".467",".352","0.819","27","86.7","16.1",18.2,42.8,25.9,22,9.3,"4.27","28.3",
"Muncy, Max","571970","2023","36",".212",".475",".333","0.808","1","91.2","21.7",29.6,33.4,38.5,18.5,9.6,"4.51","26.9",
